avg_ratings,num_pages,num_ratings,num_reviews,publish_date,Young Adult,Thriller,Science Fiction,Paranormal,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Philosophy,Romance,Suspense,History,Classics,Childrens,Psychology,Contemporary,Literature,Biography,Humor,Cultural,Historical Fiction,Horror,publish_year,publish_month,num_awards,kindle_price
4.18,373.0,"25,667","1,331",2009-09-22 00:00:00,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2009,9,0,$5.99
4.02,289.0,"3,998",205,1993-03-15 00:00:00,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1993,3,0,$8.99
3.79,336.0,790,49,1993-08-15 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1993,8,0,$0.00
3.91,319.0,"3,685",161,1994-09-15 00:00:00,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1994,9,0,$0.00
4.2,664.0,"27,935","1,162",1995-02-15 00:00:00,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1995,2,0,$9.99
4.2,664.0,"27,936","1,162",1995-02-15 00:00:00,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1995,2,0,$9.99
3.74,275.0,"1,667",145,1995-09-15 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1995,9,0,$0.00
3.94,384.0,"6,964",145,1995-10-15 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1995,10,1,
3.83,228.0,"30,726","1,458",1995-12-15 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1995,12,0,$9.99
4.1,614.0,"13,563",461,1996-04-15 00:00:00,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1996,4,0,$9.99
3.82,323.0,"1,711",141,1996-06-15 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1996,6,3,
3.65,324.0,190,23,1996-08-15 00:00:00,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1996,8,0,
3.94,291.0,701,53,1996-09-15 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1996,9,1,$0.00
3.96,278.0,"6,555",276,1997-01-15 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1997,1,0,$11.99
3.82,196.0,"6,166",367,1997-09-15 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1997,9,0,$7.99
3.9,275.0,658,61,1997-08-15 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1997,8,0,$0.00
3.8,224.0,"11,252",536,1997-12-15 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1997,12,0,$11.99
3.99,303.0,"5,788",128,1998-03-15 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1998,3,0,
3.86,256.0,14,2,1998-08-15 00:00:00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1998,8,1,$5.99
3.83,269.0,"7,483",334,1998-05-15 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1998,5,0,$9.99
3.99,306.0,"4,888",387,1999-05-15 00:00:00,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1999,5,1,$8.99
3.73,368.0,924,66,1998-06-15 00:00:00,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1998,6,0,
4.14,321.0,"119,593","2,968",1998-07-15 00:00:00,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1998,7,3,$9.99
4.39,373.0,"16,921",353,1998-09-15 00:00:00,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1998,9,0,$9.99
3.97,336.0,"1,173",60,1998-12-01 00:00:00,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1998,12,0,
