Unnamed: 0,avg_ratings,num_pages,num_ratings,num_reviews,publish_date,Unnamed: 9,year,date_key,Young Adult,Thriller,Science Fiction,Paranormal,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Philosophy,Romance,Suspense,History,Classics,Childrens,Psychology,Contemporary,Literature,Biography,Humor,Cultural,Historical Fiction,Horror,publish_year,publish_month,num_awards,Unnamed: 67
3287,4.02,336.0,"196,852","25,090",9/9/2014 0:00,09-09,2014,2017-09-09,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,9,13,
3305,3.72,599.0,"15,605","2,763",9/23/2014 0:00,09-23,2014,2017-09-23,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2014,9,2,
3311,4.36,383.0,118,69,10/30/2014 0:00,10-30,2014,2017-10-30,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,10,1,
3312,4.24,432.0,"9,523","1,013",3/11/2014 0:00,03-11,2014,2017-03-11,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2014,3,1,
3325,4.1,376.0,225,2,9/4/2014 0:00,09-04,2014,2017-09-04,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2014,9,0,
3326,4.53,565.0,"151,277","16,867",9/2/2014 0:00,09-02,2014,2017-09-02,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,9,1,
3329,4.32,275.0,44,20,12/23/2014 0:00,12-23,2014,2017-12-23,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2014,12,0,
3336,4.05,,300,42,3/24/2014 0:00,03-24,2014,2017-03-24,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,3,0,
3339,4.46,552.0,"185,640","20,591",2/4/2014 0:00,02-04,2014,2017-02-04,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2014,2,1,
3431,4.05,272.0,"9,411","1,982",4/15/2014 0:00,04-15,2014,2017-04-15,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,False,2014,4,2,
3438,4.75,154.0,4,3,11/29/2014 0:00,11-29,2014,2017-11-29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,11,0,
3439,4.54,253.0,72,44,9/20/2014 0:00,09-20,2014,2017-09-20,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,9,0,
3474,3.81,384.0,97,21,8/12/2014 0:00,08-12,2014,2017-08-12,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,8,0,
3504,3.61,200.0,223,76,2/18/2014 0:00,02-18,2014,2017-02-18,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2014,2,0,
3556,4.36,165.0,14,3,1/4/2014 0:00,01-04,2014,2017-01-04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,1,0,
3647,4.35,246.0,17,9,4/21/2014 0:00,04-21,2014,2017-04-21,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2014,4,0,
