,Urban Fantasy,Academic,Detective,Chick Lit,Young Adult,Womens Fiction,Paranormal Romance,Memoir,Thriller,Realistic Fiction,Dystopia,Science Fiction,Paranormal,Adventure,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Magic,Philosophy,Romance,Middle Grade,Suspense,History,War,Classics,Christian,Childrens,Autobiography,Psychology,Religion,Contemporary,Literature,Biography,Teen,European Literature,Contemporary Romance,Vampires,Adult Fiction,Humor,Mystery Thriller,Short Stories,Cultural,Historical Fiction,New Adult,Horror,year,female_to_male_ratio
74,,1.0,0.7383333333333333,,inf,,,1.2777777777777777,0.4270833333333333,1.0,,0.9903846153846153,0.1956521739130435,inf,inf,0.925,1.0184758771929825,inf,0.7505952380952382,0.375,0.9581709956709957,1.0354166666666667,,0.2,inf,,0.0,0.5416666666666666,1.0,inf,0.5,inf,1.2777777777777777,0.1,0.3333333333333333,1.0,0.7753246753246753,0.6944444444444445,1.0,1.2958333333333334,,0.1956521739130435,1.0,inf,0.1875,inf,1.9375,1.072171052631579,,0.6412008281573499,1986,
75,,0.6284598214285714,0.819047619047619,0.0,0.9025402046783626,0.0,,1.0,inf,1.0166666666666666,0.4259259259259259,0.6337181337181337,1.5,1.6666666666666667,0.9534353916038406,0.1,0.724230366583107,inf,inf,0.5,inf,1.1666666666666667,,1.2777777777777777,1.1043771043771045,0.828125,0.3333333333333333,2.0,0.4542313664596273,0.6982737127596508,,0.6783284600389865,1.0,1.5,0.5526315789473684,0.7333333333333334,0.6684073820915927,1.0,1.0,inf,1.0,,,0.7547619047619047,0.8809523809523809,0.7777777777777777,0.5710822510822511,0.7069947644945512,,0.5903665799979165,1987,
76,0.0,0.9166666666666666,inf,,inf,,,0.9166666666666667,0.6543650793650793,0.8888888888888888,,1.3666666666666667,0.25,0.4,inf,0.555,inf,inf,inf,,inf,0.9722222222222222,,0.8571428571428571,2.7,,0.8571428571428571,0.7916666666666666,1.0714285714285716,inf,0.25,0.9254079254079254,0.9166666666666667,,0.625,,1.061243386243386,0.7291666666666666,,1.2916666666666665,,0.0,,0.3384615384615385,0.7,0.5714285714285714,inf,inf,,0.5714285714285714,1988,
77,0.45454545454545453,0.0,0.7777777777777777,,0.749322525945244,,,inf,0.6378401360544217,,,0.125,0.9682539682539683,0.16666666666666666,0.7293470418470419,0.8105263157894738,0.7852717254010357,inf,inf,,inf,inf,,0.4794486215538848,0.23645320197044334,,0.5625,inf,inf,0.5916966964607615,,1.0326839826839826,inf,0.5267489711934156,0.8095238095238095,0.85,0.6460925039872407,inf,0.6666666666666666,0.4217105263157895,,,,inf,0.628125,0.85,1.3358667960392097,0.8515029088558501,,1.045995670995671,1989,
78,,0.0,0.6370370370370371,,inf,,,0.7014285714285713,0.5747474747474747,inf,0.0,0.9885416666666668,0.0,0.8395833333333333,inf,0.6405085843861354,0.9612445755302899,inf,inf,,inf,0.6572472848788639,inf,0.0,inf,,1.5999999999999999,0.4762987012987013,1.6296296296296298,inf,,inf,0.7014285714285713,0.5714285714285714,,0.5,0.6341697736787022,0.709920634920635,2.0,0.6980004122861266,0.0,,,1.0333333333333332,0.7333333333333334,0.20833333333333334,0.4717120181405896,0.987084582084582,,inf,1990,
79,,1.4444444444444444,0.41798941798941797,,inf,,,0.8884353741496599,inf,1.2727272727272727,2.0370370370370368,1.294142004627938,0.3401360544217687,0.3429951690821256,1.0317549518081908,1.5301587301587303,inf,inf,0.6760037348272643,,inf,inf,,1.5707264957264957,1.5383801383801385,0.43939393939393934,0.8,0.8683035714285714,0.65,inf,,inf,0.8884353741496599,inf,1.6,inf,1.5870811287477955,0.6982142857142858,1.0444444444444445,inf,1.0,0.5102040816326531,0.8333333333333334,inf,0.5185185185185185,0.8333333333333334,1.8429232804232807,inf,,inf,1991,
80,,,0.4782051282051282,4.0,inf,4.0,,1.0555555555555556,inf,0.6076388888888888,0.3442622950819672,0.5234762505254309,0.9407407407407407,0.6111111111111112,inf,0.9036631287655877,inf,inf,inf,4.0,inf,inf,0.40740740740740744,inf,1.2554232804232803,0.0,inf,inf,0.5580808080808081,inf,0.3333333333333333,inf,1.0555555555555556,0.4,0.4,0.0,inf,0.4444444444444444,,inf,,0.8,4.0,0.4831168831168831,inf,0.38461538461538464,inf,inf,,inf,1992,
81,,inf,0.5397792022792023,,0.7195489135345584,,0.25,inf,1.2359172077922078,,1.3666666666666667,0.777106227106227,0.625,0.375,0.8002193458715199,inf,0.6859562341417179,inf,inf,,inf,inf,,1.1048951048951048,1.0169559052448252,0.3,1.4880952380952381,0.8875675675675676,0.9084568439407149,inf,1.0,0.39,inf,0.9,inf,1.0433333333333334,inf,1.260960960960961,0.5,inf,0.25,1.0,,inf,1.6694444444444445,inf,inf,0.6735252714515386,,1.011111111111111,1993,
82,0.8,0.5484039769754055,0.4136904761904762,,0.9084868813357184,,2.0,0.575268817204301,0.7938852813852815,1.4,0.6666666666666666,0.982389541982565,inf,0.05555555555555555,inf,inf,0.8630904685592186,inf,inf,0.34065934065934067,inf,inf,0.3333333333333333,inf,0.7430839002267572,,0.6039682539682539,inf,0.8706012134583563,inf,1.1666666666666667,inf,1.1451612903225805,inf,1.6666666666666667,0.8243902439024391,inf,1.4543010752688172,1.6666666666666667,inf,,0.8333333333333334,,0.6968837535014006,1.3777777777777778,inf,inf,0.8664257369614514,,inf,1994,
83,,0.7899529042386185,inf,0.6862745098039215,0.8954636795429634,0.6862745098039215,1.125,1.639915966386555,inf,0.25,0.5230429292929293,0.6716169632836299,1.125,1.1995405179615706,1.4615626309174699,0.7167995746943115,inf,inf,inf,1.462962962962963,inf,inf,,inf,1.0340015545860286,,inf,inf,0.7776950009508149,inf,1.077777777777778,1.1183625730994151,1.639915966386555,1.9732142857142858,1.0398989898989899,0.5493919426056476,0.7142327246575781,1.0495670995670998,0.5833333333333333,inf,1.0,1.25,,3.4092105263157895,inf,inf,0.9591589801176267,inf,,0.816494436574528,1995,
